text	Class
"The breaking up of a relationship.  We decided that the relationship could not carry on, so it was no surprise to me. And anyhow, I had known it would happen sooner or later."	Negative
"The death of my father, even though we had not been very close to each other."	Negative
Was nearly knocked down by a car while on my way from school	Negative
"The last time I felt sad and disappointed was when I did not do as well as I had hoped in one of the final exams.  As compared with the earlier exams, the questions, I think, were unjust."	Negative
"When I ""passed out"" a female friend of mine for no apparent reason.  I was under the influence of drugs and when I am like that I gemad at anyone, however small the provocation."	Negative
When I found out that my father had lung cancer and they did not know how long he would live.	Negative
When I read a newspaper article on a young girl who had been raped and assaulted one night by several men when she was unconscious. This got me worried as if I was the one.	Negative
I was  involved in a traffic accident and my arm got broken. I had to stay home for 2 weeks	Negative
"When I was the first to arrive at the scene after an accident, and found that a close school friend had been killed."	Negative
"When my boyfriend wanted to leave me, I felt sad and melancholic."	Negative
I was forced into having sex with my teacher. I kept to myself but it worries me inside anythinme I see him	Negative
My girlfriend became pregnant while we were both in school. This got both of us worried.	Negative
"When my grandfather died, I saw my grandmother crying against my aunt's shoulder (I had never seen my grandmother cry before)."	Negative
I started selling water by the roadside when I was seven years old. After seven months I had a road accident when I decided to cross a road to sell water to someone. 	Negative
"This tends to affect me mentally as such I have divided attention in class, inadequate books to study. Etc. "	Negative
My parents are traders who sell things before getting to pay my school fees.	Negative
" My mother was the one who is taking care of me and she went with them, at that period I was the one to take the head of my mothers job to take care of the family while my father did not have a work to do and at the same time was going to school"	Negative
A close friend of mine had not contacted me for a long time.	Negative
I felt sad after having had an argument with my boyfriend.  I felt that he did not understand me and that there was no point in carrying on with the relationship.	Negative
I felt sad at having to leave my girlfriend after constant problems and failed attempts at reconciliation.  My sadness was caused by the irreversibility of the decision.	Negative
Until now my father is a casual worker and he only gets paid when he goes to work. Sometimes one month and my father will not go to work because there is no work to do and because of this he is not paid. 	Negative
"Later, other people in the same house also started selling soap and this made my mother to stop selling soap and move on to sell tom brown and wheat till today. This has affected my education"	Negative
My girlfriend in school has threatened to break up with me and for this reason I cant sleep nor learn.	Negative
I also like lying and she (mother) did the same to me. Apart from these things everything is fine with me. 	Negative
My mum caused me to learn because it was my own life that I was living. I did not see the reason for me to learn because it had no use in my life but now I am trying my possible best to achieve the greatest height on my academic ladder. 	Negative
My relationship with my teachers I will say is not that effective. Some teachers are so strict that it prevents us from being close to them while others are cool and nice	Negative
"DonŐt be surprised if I tell you that I donŐt even know my uncles, aunts and cousins. But I donŐt really care because I have my parents and siblings we love each other so much. "	Negative
"Frist my family, My dad usually stayed abroad and had problems coming back making my mum alone. This did not go on well for me at all. I feel much surprise why my dad is doing that "	Negative
I am the only person in my family who has the opportunity to attend a senior high school. 	Negative
"If I am able to move forward with the little I have, which I appreciate very much, how much more those with a high standard of living? I know for sure that some of my family members can assist me in my school but no"	Negative
My parents were not educated but they try hard to look after us so that we will get better future. 	Negative
"Furthermore, there is insufficient I.C.T tools in my town. I.C.T have been controlling the world but in my town they are not common and I donŐt know why"	Negative
I finds it difficult to understand why my father has money but declines to pay my school fees.	Negative
"Though I have a father who is alive, but he is not the one taking care of either my siblings or me. So I am doing this for my mother for her to benefit from whatever she spent on me"	Positive
Sometimes it buffles me why some teachers are so wicked and punish Us everyday	Negative
I have so many siblings but I am the only one who goes to school. This worries me whn I think of that.	Negative
One day my uncle surprise me with gift and I could not resist it though he treated me bad in the past which affected me.	Negative
"Unjust accusations directed at me and my way of acting, by someone close to me."	Negative
my dormitory mate are always making noise which distract me from sleeping.	Negative
When I am not given what I have been promised by my father. And I donŐt know why he will do that to me.	Negative
When I had been obviously unjustly treated and had no possibility of elucidating this.	Negative
I was taken aback when a teacher asked me to come to his room to do something for him	Negative
My father surprises me with his achievement. He works at the bank and receives several awards. I want to be like him.	Positive
From my observation I realized that at the thought of my parents I regain my focus especially when I lose it. My dad and uncle all believe in me and mostly motivate me to put in my all and do my best in my studies. They buy me all things to improve my academic work	Positive
"I barely make friends even though I walk with them but I have five close ones. I do everything with them, I help them and they help me too. We study together and solve lots of questions"	Positive
"I am in a family of three. A mother, father and a sister, but I stay with my auntie who is my guardian. She has been the rain or water in my life. She would not let the rod depart from me when I go wayward. She is always there to straighten me and I thank God for her life"	Positive
My teachers are the best because they always come to class to teach us. I find them as role models	Positive
Also my good relationship with teachers gives me a platform to approach them with my social problems and also academic challenges as well	Positive
"About a year later, my uncle brought me to the capital city of Accra. Here I had a much better education. My aunt who was teacher always made sure we did our assignments, but at the age of 11, it was difficult for me to change totally"	Positive
"My relationship with my peers has being okay, if I should put it that way. Because I remember when I first entered the class I was always alone when I called to others for help they ignored me but the right now we thank God everything is Okay. The staff encourages us to learn. "	Positive
I donŐt really experience challenge in my life because of my savior who watches and protect me every single day. My life with my family is good	Positive
Life entails so many challenges but there is one thing I know for sure is that if Christ is part of your life you will be able to face anything in life. 	Positive
I donŐt really experience challenge in my life because of my savior who watches and protect me every single day. 	Positive
"Well life we say is not what we have or what we can do, but itŐs how we can face the challenges ahead of us. It also entails our choices, decisions and the people who make us feel at home. "	Positive
"From my heart, I really thank God. I Ôve never being into any addictions although I have come across most of lifeŐs previous ways"	Positive
A little about my life story is that I was born into a computer home. So I have the basic necessities about technology and that has improved my life. 	Positive
"My parents are also well educated and they thought me when I was a kid and gave me the necessary basic things like how to read, write, behave etc. They thought me how to think through the box of assembling and disassembling stuffs and this has helped me in school"	Positive
"But one thing is clear there, I never stopped studying since I know that education is the only means to my success in life"	Positive
"Though at times my parents are not able to support me emotionally, the diligent advice given to me even strengthens and encourages me the most to go ahead."	Positive
"Though they may not have the money to provide me with a conducive environment to enhance my education, I, in turn, appreciate their support through encouragement and advice because they are always there for me and I am there for them too."	Positive
My friends also have impacts on my education.That is why I am very vigilant when it comes to the choosing of friends.	Positive
"In fact, I do not want to disappoint any of my parents, friends and other family members. I also take my books very seriously. I always do something legible and profitable even without these necessities."	Positive
"To conclude, this is not a new problem for me at all. I have been finding myself in a dilemma as such so, I count it as part of my life in which I have been able to manage them to my limits. "	Positive
"But in some ways social media has positive impact on my education. For example, If I am learning and I do not understand something, I can use my phone to search on the internet for something that I donŐt understand and then get proper interpretation of what I donŐt understand. For instance some of the search are Twitter, google , facebook, Queep, Youtube , whatsapp are used in learning and searching solutions to assignments"	Positive
"Again, I give all the thanks and gratitude to the Almighty God because without him my life would be so miserable. That is why I do not joke with my moral life, I always see to it that I go to church, read my bible and pray to God for a miracle to happen in my life"	Positive
I thank God so much for the wisdom and knowledge He has granted me to be able to study	Positive
And I know that something good is going to happen in my life very soon by His Grace	Positive
"This keeps me going in life, knowing that mum is supporting me and my heavenly Father is also watching over me. I know and have faith that things will change for the better."	Positive
" Finally, he got a place and on his return to the village, he did not inform me about all these but rather convinced me that he will send me to the boarding house in a few days. "	Positive
"Since I started  Senior High School, I have realize that life is like an egg so it should be handle with care. In fact many people started their life in tears and ending with joy, others started their life in joy and end it in tears."	Positive
I make sure that my classmate whom I will learn with is also an intelligent student like me so that any time I am in need he/she will help me because it is not all the things that I will know.	Positive
"One thing I have realized is, all such (good students) students who excel academically are prayerful so, I am also a prayerful student. "	Positive
"One thing I like about myself is, I always ask questions about whatever my teacher teaches me and through the asking of questions, I am able to know more. I am praying to God that whatever I am supposed to do in this world, he will help me through. "	Positive
I was very worried when I left Great Owass but I put my trust in God Almighty and pray for His help. 	Positive
For some time now life has been a bit encouraging to the background of my family as Jesus Christ being the hallmark. 	Positive
"I was born in a humble Christian home trained with the world of God. I am the second of three children. Hard work has been one trait induced in me. My family not so well to do and as result we were trained to work really hard, being diligent in anything we find to do. "	Positive
"As the wise saying goes, when there is a blind man, God creates his assistant and it is very obvious in my life. "	Positive
"both my father and mother are all farmers. They never had the opportunity I have now and due to this, they have trained me up in an upright manner in order form to manage the little I have and be more engrossed in my books, not forgetting about prayers."	Positive
I love their (parents) encouragements and cares that is why I agreed to be a day student due to financial problems	Positive
"One thing I admire about them is that, though most of them are of high standard of living and mine, vice versa, they love me as I am. The very day I may have difficulties with my pocket-money, that day miraculously becomes the day my friends show much generosity."	Positive
"Moreover, encouragement from my parents, teachers and friends. One of the thing that has influence my education is encouragement"	Positive
"but if the teacher has enough knowledge and skills about what he or she is teaching, it would enable him to give proper interpretation about what he is teaching and this would enhance my performance in school."	Positive
"I do not have many friends but I try to keep the ones I have close, who knows maybe they might help me in the future. As my mum always said Ňvalue the people you have near because if you loose them you might not get them backÓ."	Positive
"So far, all situations I have encountered have not been helping me academically because I do not have all the resources I need but I manage the little ones I have"	Positive
"I have five siblings and I am fortunate to be the last born child. Although my siblings are not highly educated, they do their best to support my father who is a pensioner and my mother who is a trader in my school "	Positive
I always hear their (parents) advice and it is helping me a lot	Positive
My family have the motto ŇMarry your books and give birth to successÓ. I always heed this advice because I love my family very much. I am Thankful to God for their lives and strength.	Positive
I also grown to believe in the expression Ňhard work always breeds successÓ and I am working on very seriously. 	Positive
"But yet still during my basic level in school I was leading the class. The secret about this was that, I, was a kind of person who always make friends with students who were having textbooks and also serious with their books"	Positive
In fact taking a good role model is also a good factor that helps a student to excel academically. I have taken a role model and it is helping me a lot to learn hard because all my role models are very intelligent.	Positive
"When it comes to my moral life, I do not play with my creator at all. Because it is through him that I can get all what I need. I always do what I am expected to do as a child of God."	Positive
"But when you are in a boarding house, you will be forced to go to prep to study on your own and also when you encounter any difficulties on a particular subject, you can consult friends or teacher to explain things further to you so that you can understand things better. "	Positive
"When I am in an environment or with a person much worse off than me, I realize how privileged I am."	Positive
When I stop learning then I started fail in the subject that they teach. Then I started getting D+ and others. This because I reraly have time to learn. My parents sends me on errand at every time.	Negative
I have  always been reading some story books and other books which encourage me to read and answer some of the comprehension.	Positive
The positive things that influence my academic work is that the teachers teach us well so help us to achieve our goal in future. And also the motive us in everything we do. They are kind because who you do the right thing they will also punish you severely. 	Positive
Teachers always advice us to learn hard. I have been promised that when I get good grade anything that I want I will be given. I must learn hard and also involve in any sporting activities. Because all work and no play makes jack a dull boy do.	Positive
"I like Economics very well. From the first day I started learning Economics, I became very appreciable to the subject. The teacher who teaches us economics encourages to me to learn hard because I am of the good student who offer economics."	Positive
"Since I was admitted in my  school, I have experienced that my academic work has been improving systematically as compared with my former school. This is due to the hard work of my teachers and their good advices they always give us. "	Positive
The environment are conducive in the  sense the we are able to cope very well in the school. Teachers only punish me whenever I do any bad things.	Positive
"Some of the subjects which I am not very good at them are accounting, costing, core mathematics and science. Whenever I get low marks in these subjects I always become worried though I do not get discourage marks but is just that I do not get what I expect. But I try my best to work hard towards that.  "	Negative
There are a lot of things that goes on in the school and such thing sometimes positively or negatively influence my life. It is best known at the teaching and learning process. This is because I am a student in my school who takes book as my best friend in anywhere and hence likes learning very much. Due to this sometimes the advice from my class teachers am always influence to learn.	Positive
"Some of the subjects which I am not very good at them are accounting, costing. I get low marks on them. For this reason I dispise them a lot."	Negative
"In my school, I find it very difficult in learning, because they have no facilities like science laboratory, computer laboratory, etc."	Negative
The day I felt so emotional about my academic development was the 2nd term examinations where I had 30% in Business Management  and I was punished for that.	Negative
I am a new student so some of the subjects I am having problem with it makes me not capture on what the teachers are teaching and it is a problem to me.	Negative
I am not good when it comes to elective mathematics. The subject is very difficult for me so when I go home I do not learn that subject at all. 	Negative
"When I come to school my friends motivate me most about my learning, so this encourage me most when it comes to my learning. "	Positive
" When it comes to teaching, the teachers teach very well, so this motivate me to learn very hard so the work of the teachers will not be poor. So this are some of the things that influence my academic positively."	Positive
Teachers in my school always teach and influence poeple in the school and even if you are not his or her student. So I always learn because of the teacher motivation and to be out with better grades. 	Positive
There are things that influence my academic work in this school. In my school here are good teacher and student in my school. They always motivate people to learn and come out with better grade. 	Positive
"In my school you cannot differentiate the seniors and juniors when it comes outside. Aside that, the teachers are putting in or sacrificing themselves of helping us to became very brilliant in our academics"	Positive
"This was the day I fail in my examinations, teachers and my friends were disappointed in me, then they told me I did not do well."	Negative
"Teacher punished me in the class, students told me they will never talk  to me. I was alone people make me sad. Because of that I demotivated myself not to come to school."	Negative
The negative way that influences my academic work is about the school competition of interhouse that is the way that influences me in the school because  I am not happy to study well in school premises. Because when you are about to study after classes the school house captain are called for training because that it will capable for you to get enough time to study your course very well.	Negative
"The day I feel happy in my academic development is that my friends advised me to study and become good. Hence, at the end of the terminal examination I became better in my position because of that it makes me happy in school."	Positive
The negative thing I find in my academic work is that I fail in my core mathematics from that day I tried my best to learn hard but I cannot make it. This has affected me emotionally and disturbs me a lot.	Negative
"When I felt so emotional in my academic is when  I received a punishment after absenting myself from school for three days with any tangible reason or did not seek permission, I was so sad because in my life  I have not been punished before."	Negative
"During my second term exams at form one, I did not perform well in the exams due to the fact that my form master beats me severally, I became aggressive and negatively emotional towards my academic development. "	Negative
The things that influence my academic work in the school is I like the school very well because they have good rules that tells us how to study. And does not lead us astray.	Positive
The teachers are my role model and I want to be better like them in academic and real life. I am so happy to learn hard and get distinctions in my final exams.	Positive
"I have three sibling, two boys and one girl, all of them have completed university. Two of my siblings are government workers and the other one has set up her own business. I always see them comfortable at home because they earn enough to complement for their own needs and at times helps me too. It has influenced me academically and morally which review my splendid performance in BECE. "	Positive
This is where I was having all the material in terms of the past question and also test book which I learn and solve question in any of the subject and this has made me develop much in my academic.	Positive
I became so happy when I took advices from my teachers. I sat down and learn hard in any of the subject and this had made me develop much in my academic. 	Positive
I was very happy when I was now able to get good marks in some subjects that I could not get even a quarter of the marks.	Positive
The teachers teach as well as they can do. I like the teacher because they motivate us and also make sure I learn. The teachers respect the student also respects them. 	Positive
"The day I was sad in school, I came to school late and one of the teachers beat me. I gave a reason for but still the teacher punished me. That was the day the I was sad. But I felt emotional to and I learnt that that I will always  come to school early."	Negative
"I stay with my parent. They also advise me to also learn. My academic work gives me the opportunity to do what I want. Am a day student but I try as much as possible to do things which will make the teachers comfortable. To my academic work, I can say I do better in all my academic work."	Positive
"I was about 12 years old when I got a new classmate. He was very good in academics especially mathematics. I use to go with him to his house and play video games and some other stuffs. When we got to know that am an average student, so we fixed some days for studies after school. For some months, it was easy for me to solve some maths problems and this has influenced my life very positively."	Positive
"When I was in class six, my maths teacher conducted a test, a very cheap one. Since it was cheap, he took some strategy to make us score less which was if you solve it well without the units (cm, cm2) he marks you down, so when he brought our result, I had 1 of 10. It was as if I was morning. I cried and cried until the next morning and even discourage me for the rest of the term."	Negative 
It was unfortunate for me one day that I felt so bad about my academic development when I flopped in my terminal examination due to some illness. It was so perturb that my results for the term indeed tarnished my record which I do not want none to reoccur.	Negative 
I got depressed when I scored on 10% in my exams and felt so bad to even talk it over with the school counsellor.	Negative 
I am boy 18 years. Many factors in the school has improve my academic work.This is because of the discipline we have in this school and the commitment of the teachers in teaching us. I was once punished for not obeying the school rules and regulation which has now deter me to obey all the rules and regulation. I am very happy to be in the school.	Positive
I do not like the way my parent do for me. Their finances is very poor. I am always the saddest in my school. I decided to stop the school and search for job to do so that I will get money to settle mu debt I owe. 	Negative 
I am a boy who have lived in Konongo and attended school in the same town so am proud to live in that town because it encourages me to go to school everyday. 	Positive
Our school is not having a science laboratory so it is not helping me in the learning of science. Since the teachers are dong well and the students are finding it difficult to learn effectively.	Negative
"When I was in the second year, my mathematics teacher conducted  a class test which I performed badly in class so I was not happy. And this made me depressed."	Negative 
"I am a boy of 18 year of age. When I came into the school, I have learnt so much knowledge for myself. The idea for me to share this life stories is good, that is academic development has been influences positively. In which I have learnt from my teachers in this school."	Positive
"I really appreciate how the teachers are teaching. They teach to my understanding as a student because as compare to my former school, there were more teachers but they do not teach to my understanding"	Positive
"I started school at Wesley High from form one to date. This school has made my academic excellence, but when I was in JHS, I was not able to speak good in English but now I can speak good English."	Positive
"An instance where I felt so bad about my academic development is the day I had E8 in my core mathematics, I felt so sad about my academic development. "	Negative 
"So I realized that if is to be my final examination, I would have gotten E8 which would lead me to go back to register again to write it again. So his obviously negative influence."	Negative 
I felt so bad about my academic because of not having science laboratory in our school. This does not even motivate me to learn. I feel like I am not even in school.	Negative
"Immediately I entered into Wesley SHS, I started experiencing so many things about discipline. I learnt and seen that many student do not respect other student because they think they are in the same school or the same class with them so there is no need for them to give the maximum respect."	Negative 
"I fear of been considered a traitor to my friends, because I always prefer to sudy alone."	Negative 
Our teachers are very good in teaching. And this motivates me to learn since I believe I can have a good future from that.	Positive
"we came into this school very excited about how they teach, how they come to school early and hat attitude they showed me encouraged me to move on in life."	Positive
The thought of the final exams makes me panic all the time	Negative 
My school background is not well enough but am comfortable with it. But in my school there is too much of punishment. They usually beat us which I dislike most of the things in my school. And also in my school one thing I realize is that you can not differentiate both the senior and the junior when its comes outside. 	Negative 
"But aside all these, I have mentioning, the teachers are also good. They are loyal to us in our studies."	Positive
 Teacher sacrifice themselves to us when they are teaching us. 	Positive
"I felt so disturbed about my academic development, because I found out that I was improving in my academics. We were about eighty three student in the class but I always took the fifth position. I felt that I was doing something and I taught to improve."	Negative 
I hate people who are thieves and those who live unacceptable life in society. I show or give respect to everyone I meet in my life. I worship the Almighty God truthfully and faithfully.	Negative 
"Ever since I started schooling, there has been some more difficulties that I have come my way which mostly affects my academic work negatively. "	Negative 
"I being the third born faces a lot of challenges in my life. When I was about twelve years, I went to Kumasi to stay with my Auntie. I have stayed with my mother for about eleven years and this time I was going to stay with my auntie. It was indeed a big challenge. I promised myself that I will not give up whether good or bad. My journey has now started. I boarded a bus and I landed safely in Kumasi."	Negative 
"I was enrolled into a noble institution. I started from JHS1. the problem I faced was that my auntie was having three kids. I have to bath, dress, feed them and also send them to school before I will also go to school. Our lessons start at 7.30 am and ends at 4.00 pm but I was always late in school. I will be in school at 8.30 am that was past the normal time we study. By the time I will get to school they would have even started lessons already. "	Negative
Again some of the subject I have  problems with them because they scare me due to their dificulties.	Negative 
I steal a lot from my father though I want to stop but I can't	Negative
"Most at times, I find it difficult to pay my school fees due to my family background. I at times stay home when am suppose to be in school and this affects my academic work. I am someone who love people irrespective of their tribe, family background, age, sex, etc. There is a good relationship between all those I live with in society."	Negative
I feel so happy about my academic development whenever school reopens and my parents are able to pay or give me all the thins that I must get before coming to school to learn. 	Positive
I feel depressed when they find it difficult to provide me all the essential things.	Negative 
" but when my academic performance becomes bad, I feel very depressed.  "	Negative
" Again, I feel happy when I improve upon my academic work"	Positive
Thank God that I successfully had enough money to continue my education.	Positive
"The first time I entered the school, I wanted to go back home with my parents because I saw one of the senior who was maltreating a junior so I became scared. "	Negative
"The first day I completed JHS, I taught that is the end of the life for me, because my parents had fought badly. "	Negative
 I decided to run out from our house so that I can get a pace of mind to concentrate on my education.	Negative
 I went to stay with my grandmother at the village called Boatengkrom in Ashanti Region. At the place I went and sell water near a provision store at our house. I got treated very bad by my grandmother	Negative
My grandmother helped me in paying my admission fee and also bought other items for me. And that is the happiest moment of my life.	Positive
"Sometimes, when coming to school, my parents would not give me any money so I decided to stop schooling because I cannot come to school with eating so I felt very sad. "	Negative
I thought that I will not continue my education because my guardian is having four children. 	Negative
"My guardian has already sent two of his children to SHS. because I am not his biological child, after completing JHS, his wife did not want me his husband to enroll me at SHS. Because of that, I was not happy from that day onwards."	Negative
"When I was in JHS, my friends were the serious students in the class. We were always in class studying. It came to a time our teachers were mot coming to class to teach us. They advised us to come for evening prep but they were not coming as well to. This affected me when I wrote the BECE since I never had the grade I was expected so I became very sad."	Negative
"The first day I went to school, I was not happy because I lived with a guardian and my father is not alive."	Negative
I was shocked when my best friend in school committed suicide	Negative
it beats my mind why teacher will not teach in class but want us to come to extra classes for them the teach us	Negative
I had to steal before I paid for my exams fees. I am not happy about it though.	Negative
"When I came to school the first day, my senior used to choked me with a pin and I felt very fearful of my life"	Negative
I did not like it a bit when I was told by our seniors to scrap the toilet.	Negative 
I am in a sad and dangerous zone because of financial problems but I want to be a policeman that is why am struggling to achieve my goal in order to become a best or happiest man in our country.	Negative 
"I am very happy because I have a career or goal to become a police. on my first day at school, I heard the teachers saying if you do not learn they will not support you when writing the final exams. This has influenced me to learn. "	Positive
"My first day of attending SHS, some of the seniors in the school treated me bad and this situation made me very annoyed and afraid to be in that school."	Negative 
"So far as I  want to be somebody like sports journalist in future, I will continue to fight towards my education to get that opportunity and time I feel very emotional for that."	Positive
"When my academic work was not good at all, I was very worried by it so I said to myself I will make it. "	Negative 
"One day I was sacked for school fees during examination, and when I went home to tell my parents, they told me they have no money. This made me missed some papers I had to write. When the results were in I performed badly. "	Negative 
"When I completed BECE, I had a good results and  was very happy and said to myself I will do well when I get admission to SHS/"	Positive
I found myself angry when my boyfriend jilted me for my friend	Negative 
"In school I was once a clever child, but suddenly, my studies became very poor. A teacher always disciplines me whenever I do not perform well. This has improved my studies and I am a prefect in the school."	Negative 
I was surprise to hear that my female friend had sex with a teacher	Negative 
 I come to school late and always miss the first hours of teaching. This is so because my house is far from the school and my parents do not have the money to assist me to take a bus or taxi.	Negative
"I was sad about my academic performance but anytime a I see policewomen, I say to myself that I will learn hard to be like them. Since I said that I have been getting good marks in my English language.   "	Negative 
 I am always tired when I sit down to study. I failed when I got my results for the first time.	Negative 
"I was very sad when I received my results, I performed very poor that I could not show to my friends. I nearly committed suicide."	Negative 
"The negative influence is whenever we are studying, some of the students make noise a lot and this does not help when I am learning"	Negative
"I started school when I was about 8 years old. Because of poverty, I did not start school early, so I am now 17 years but I am still in SHS 1. "	Negative
I was very happy when I saw my BECE results. I did very well so this have motivated me to learn hard  so that I can pass my WASSCE .	joy
"Positively, I did not give up in school. I am still fighting hard to learn hard and become a great person in the world."	Positive
When the results were in I didnŐt perform well at all. My teachers felt also sad because they knew I was going to do well.	Negative
What worries me in my academic work is that every day I go to farm and search for firewood and come and sell before I get money to school. Most at times I do not eat only in the evening.	Negative
"When I was in JHS, a man supported me before I completed school. He took a loan from the bank and sent me to school. He told me he is doing all these to me so that I would become a somebody in future so that he would let me marry his son. Since he is taking care of me he has asked me to study general science which I not interested. "	Positive
Due to the playing games and wasting time unnecessary discussions learn techniques lacked within my conscience. 	Negative
Another one is I am a footballer and this is affecting my academic work in school. Also the influence of bad friends who give me bad advice. 	Negative
The things that influence my academic work is that my parents are poor and they cannot pay school fees and provide the me with learning materials like books. This very sad and halts my academic improvement.	Negative
"My real life story which influences my academic work is am the only child of my mother, so I am the person who must do all the house work. As a result of this I cannot get time to learn and also do not go to school early. This is unfortunate for my development."	Negative
Sometimes when I began to school and something tell me stop going to school so I listening to that spirit.	Positive
"I prefer to be a boarder that a day student because if you are a boarder, you can learn during prep time with the day students you are always busy with the domestic activities. "	Positive
"Whenever I try to  study, my parents and elder sister would send me to run errands for them. By the time I am free to learn I am always tired and infarct this has influenced my academic negatively."	Negative
"In some cases, some people fail during exams all because of poverty so it can decrease your academic performance "	Negative
"When I was in JHS 2 second term, I had my report and saw that I have improved on my performance. It made my day and motivated my academic development."	Positive
"I was very happy when I receive my results this first term. even though, I did not stop the class but I am willing to top the class during the second term examination and I hope to do that. "	Positive
I once lived with my step-mother who treated me badly. With that I have had many experience. That treatment affected me negatively	Negative
What influence my academic work is being a day student. My house is about 3-6 kilometers from school. Due to this am always late to school. Also my time if learning is not sufficient for me to pass well. 	Negative
"When I wake up and set off to come to school I will wait for a car about three hours by the time I get to school the first and second lesson is over, and this is affecting my performance."	Negative
I now think my father do not like me because he was aware of whatever was going on about my sexual activities.	Negative
My father came to release how unhappy I was. This led to the divorce of he step mother and my father.  	Negative
"I now live with my biological mother and father. So, I am very happy person"	Positive
My friends help me to study and  always motive my progress.	Positive
I felt bad when I cannot sit down and study this lead me to fail my examination and I am getting F9 and others.	Negative
I started school with a very poor performance. I was always sad when I see my colleges girls leading in the the class. And sad for that matter some the teachers try their best to encourage me so that I could improve upon my performance. I can now boost to be one of the best student in my class. Since I started a group studies with my peers it has helped me	Negative
I felt shy to join my colleagues when my academic performance was not good. Whenever I see them I thought they were at high level than me so I should not count myself among them	Negative
"I remember the day I pronounced a certain word in class, some of my friends in class mocked at me so I was not happy about that. Due to that, I it affects my academic work for that particular periods of the day. "	Negative
The day I will never forget is the day one of my colleagues mocked me because I was not able to answer question in class. Some of the other colleagues to her to stop but she turn a deaf ear to what they said.	negetive
I normally feel sleepy while in class. In the end I fail a lot in exams. I cannot do anything about it either. This is a problem of my life	Negative
"What influence my academic work is that I am a day student and whenever I close from school, I will be running errands for my parents, meanwhile they know it affects me"	Negative
I am a kind of person who always like individual learning. 	Positive
"When I went to science class in form one at second term my performance was not all that bad but I was encouraged by my teachers and it gingers me on my academic performance so I began to learn hard and I performed the next term. Due to that, I have become one of the best students in school. "	Positive
Because I hold a position in my school it helps me to study hard. This has helped me a lot to study.	Positive
"My father has passed away, so I find it difficult to pay my school fees. Due to this situation, this is affecting my academic work. Again my mother is not having a good job to do to pay my school fees alone so always I am been sacked from school and it is affecting my academic work."	Negative
I am a science student. I stay with my disabled grandmother at the village for some years for which sometimes I have to absent myself from school and take her to the hospital for check-ups. As a result of that I became very week in some difficult subjects like mathematics in JHS. I now stay with my mother in the city because my mother and father are no longer married. 	Negative 
"In my academic performance, in some instance, I felt so sad and also in some place I felt so happy to achieve my aim. Every term I will make sure that I will improve my academic performance that will help me to achieve my aim. "	Negative 
"I feel very happy and excited whenever examination is down and our papers are given to us and I see that I performed very well, gut if I don not id do not show it to anybody. Though I have improved in six of the eight subject and I tell myself its not bad. "	Positive
My academic performance was very good but for sometime my studies began to go down.  The reason is that I donŐt study after school but watch television.	Negative
"When I began schooling, at SHS, I was an Art student in form one but rather I realized that I was a good student so I took science. I hope to do better in the future "	Positive
" I felt so sad that when we do examination and get low marks, I felt so sad that a Mathematician got 50%."	Negative 
Every time the school demands for  fees I will be sacked from the school and this influence my education badly and make me very sad because every term I will be sacked from school. 	Negative 
"In my academic performance, in some instance, I felt so sad and also in some place I felt so happy to achieve my aim. Every term I will make sure that I will improve my academic performance that will help me to achieve my aim. "	Positive
I was not good in academic because of that my friends teased me. And this makes me feel lonely some times.	Negative 
"I started to live on my own and catered for myself when I was 10 years old.  I was selling yam and vegetables at Kasoa market for about three and half years.  When I was sent to school, I was feeling inferior among my peers because I was not used to the speaking of English language and even how to express myself in the midst of people.  "	Negative 
"I wish to become a footballer but my parents do not accept my view. Because they want me to become a soldier, so now am in school working hard to make my parents dreams of becoming a soldier come to pass"	Positive
My life story has not been all that bad from me. I am only scare that something might happened to my father and I cannot continue my education.	Negative 
I worked very hard and had to pay part of my admission fees when I had admission and I hope to paas well in the end	Positive
"I am Very fortunate persom, I had someone who was very good to me and gave me the exact money I am supposed to take when working is over.  But then I had the place of my Aunt. "	Positive
"Due to financial problem that my parents are facing, they are not able to afford me even transportation to school.  I need to sell firewood before I go to school."	Negative
"I was so depressed when I started schooling, why this?  I was coming to school bear footed without money to eat. This gave me and emotional feeling that all persons are better than I am.  I always fast till the evening whiles I get something I would eat.  This made me inform myself that I am not to stay in school but rather go out there and find something doing which will make me eat and cater for myself."	Negative 
"With the help of some teachers and people I am able to pay my fees and hope that with all the famine I am going through, one day I would it as a reference.  "	Positive
"My father who was having a cocoa farm has been ceased from him, so he needs to go to by-day before he can get something to feed us. "	Negative
I felt so sad when I got my report and saw the mark that I got was very bad. This term I hope to buck up.	Negative
"My parents do not have time to check my going and coming, so I choose to do whatever I do in the house."	Negative
I felt good when I had B2 in mathematics and I was surprised. Then I realized that whatever you learn on this earth it will stick into your head forever.	Positive
"I follow what others do, I do not learn, I don't often go to class, even if I go I do not go on time. It has really ruined my life, but I guess is too late nothing can be done because I am in my final year. I will be writing my WASSCE in no time."	Negative
" I am academically good but due to financial problems, I face problems in my academic.  Due to this financial problem the first two brothers of mine could not further their education after the SHS education. "	Negative
It is my greatest wish to continue my education after SHS	Positive
"Some other things that influence my academic work is my relationship with ladies. Because of my relationship with them I try to use that opportunity to date them. Because of his behaviour, I am into a lot of relationship which seriously affects my academic work"	Negative
